INDEX,VEHICLE ID,LOCAL DATE,LOCAL TIME,LATITUDE,N/S,LONGITUDE,E/W
1,1,2014/12/7,7:59:45,39.990868,N,116.326759,E
2,1,2014/12/7,7:59:46,39.990891,N,116.326752,E
3,1,2014/12/7,7:59:47,39.99091,N,116.326759,E
4,1,2014/12/7,7:59:48,39.99091,N,116.326744,E
5,1,2014/12/7,7:59:49,39.990898,N,116.326683,E
6,1,2014/12/7,7:59:50,39.990864,N,116.326668,E
7,1,2014/12/7,7:59:52,39.990738,N,116.326698,E
8,1,2014/12/7,7:59:53,39.990654,N,116.326706,E
9,1,2014/12/7,7:59:54,39.990562,N,116.326714,E
10,1,2014/12/7,7:59:55,39.990456,N,116.326729,E
11,1,2014/12/7,7:59:56,39.990349,N,116.326729,E
12,1,2014/12/7,7:59:57,39.990234,N,116.326721,E
13,1,2014/12/7,7:59:58,39.99012,N,116.326714,E
14,1,2014/12/7,7:59:59,39.98999,N,116.326714,E
15,1,2014/12/7,8:00:00,39.989868,N,116.326714,E
16,1,2014/12/7,8:00:01,39.989738,N,116.326729,E
17,1,2014/12/7,8:00:02,39.989613,N,116.326729,E
18,1,2014/12/7,8:00:03,39.989479,N,116.326744,E
19,1,2014/12/7,8:00:04,39.989342,N,116.326767,E
20,1,2014/12/7,8:00:05,39.989204,N,116.326782,E
21,1,2014/12/7,8:00:06,39.989063,N,116.326805,E
22,1,2014/12/7,8:00:07,39.988918,N,116.326828,E
23,1,2014/12/7,8:00:08,39.988777,N,116.326843,E
24,1,2014/12/7,8:00:09,39.98864,N,116.326836,E
25,1,2014/12/7,8:00:10,39.988499,N,116.326851,E
26,1,2014/12/7,8:00:11,39.98835,N,116.326866,E
27,1,2014/12/7,8:00:12,39.988201,N,116.326897,E
28,1,2014/12/7,8:00:13,39.988056,N,116.326897,E
29,1,2014/12/7,8:00:14,39.987904,N,116.32692,E
30,1,2014/12/7,8:00:15,39.987743,N,116.326935,E
31,1,2014/12/7,8:00:16,39.987595,N,116.326942,E
32,1,2014/12/7,8:00:17,39.987442,N,116.326958,E
33,1,2014/12/7,8:00:18,39.987301,N,116.326958,E
34,1,2014/12/7,8:00:19,39.98716,N,116.326958,E
35,1,2014/12/7,8:00:20,39.987019,N,116.326965,E
36,1,2014/12/7,8:00:21,39.9869,N,116.326958,E
37,1,2014/12/7,8:00:22,39.986801,N,116.326973,E
38,1,2014/12/7,8:00:23,39.986725,N,116.326973,E
39,1,2014/12/7,8:00:24,39.986668,N,116.327019,E
40,1,2014/12/7,8:00:25,39.986629,N,116.327065,E
41,1,2014/12/7,8:00:26,39.986622,N,116.327118,E
42,1,2014/12/7,8:00:27,39.986622,N,116.32711,E
43,1,2014/12/7,8:00:28,39.986618,N,116.327164,E
44,1,2014/12/7,8:00:29,39.986614,N,116.327209,E
45,1,2014/12/7,8:00:30,39.98661,N,116.327248,E
46,1,2014/12/7,8:00:31,39.986607,N,116.327248,E
47,1,2014/12/7,8:00:32,39.986603,N,116.327248,E
48,1,2014/12/7,8:00:33,39.986603,N,116.327248,E
49,1,2014/12/7,8:00:34,39.986599,N,116.327248,E
50,1,2014/12/7,8:00:35,39.986599,N,116.327248,E
51,1,2014/12/7,8:00:36,39.986599,N,116.327248,E
52,1,2014/12/7,8:00:37,39.986599,N,116.327248,E
53,1,2014/12/7,8:00:38,39.986599,N,116.327248,E
54,1,2014/12/7,8:00:39,39.986599,N,116.327248,E
55,1,2014/12/7,8:00:40,39.986599,N,116.327248,E
56,1,2014/12/7,8:00:41,39.986599,N,116.327248,E
57,1,2014/12/7,8:00:42,39.986599,N,116.327248,E
58,1,2014/12/7,8:00:43,39.986599,N,116.327248,E
59,1,2014/12/7,8:00:44,39.986599,N,116.327248,E
60,1,2014/12/7,8:00:45,39.986599,N,116.327248,E
61,1,2014/12/7,8:00:46,39.986599,N,116.327248,E
62,1,2014/12/7,8:00:47,39.986603,N,116.327248,E
63,1,2014/12/7,8:00:48,39.986603,N,116.32724,E
64,1,2014/12/7,8:00:49,39.986603,N,116.32724,E
65,1,2014/12/7,8:00:50,39.986603,N,116.32724,E
66,1,2014/12/7,8:00:51,39.986603,N,116.32724,E
67,1,2014/12/7,8:00:52,39.986607,N,116.32724,E
68,1,2014/12/7,8:00:53,39.986607,N,116.32724,E
69,1,2014/12/7,8:00:54,39.986607,N,116.32724,E
70,1,2014/12/7,8:00:55,39.986603,N,116.32724,E
71,1,2014/12/7,8:00:56,39.986572,N,116.327225,E
72,1,2014/12/7,8:00:57,39.98653,N,116.327217,E
73,1,2014/12/7,8:00:58,39.986469,N,116.327217,E
